GDW_ID,Pred annual sediment volume MCM yr⁻¹,SD MCM yr⁻¹,RSR(%)
817,1.185073568,0.196537537,0.005744419
818,0.838798154,0.173034893,0.008430132
819,0.267092394,0.037145419,0.007460681
820,0.458060171,0.101335411,0.004522059
821,1.351490224,0.419837385,0.003313288
822,1.088912368,0.292961562,0.014557652
823,0.431409426,0.095429971,0.004924765
824,1.866076587,0.327763173,0.003626971
825,0.393588031,0.071098194,0.00801605
826,1.277418792,0.164042556,0.00326622
827,1.322346247,0.246585617,0.004815536
828,1.484047478,0.350758402,0.00353063
829,1.397944913,0.194859664,0.00613672
830,0.656189534,0.157800476,0.005542141
831,0.432904538,0.091397708,0.004061018
832,3.949285202,1.99820255,0.001323044
833,1.742483458,0.113258032,0.006141993
834,1.005402598,0.270814457,0.005034565
835,0.904655058,0.268618523,0.004832559
836,0.495073408,0.030212605,0.005670944
837,2.709861882,2.132794473,0.001082213
838,4.23564523,0.827399984,0.003849537
839,0.456549833,0.098468095,0.004101975
840,0.931761845,0.169835939,0.004117374
841,1.428823005,1.445559034,0.001124615
842,1.059091014,0.205114043,0.003748995
843,0.945004489,0.242623313,0.004502165
844,3.240461968,0.819215302,0.003089096
845,2.966290875,0.438070064,0.003325065
846,3.592872086,1.23404503,0.007174265
847,1.902894817,0.486201335,0.006648829
848,2.976878559,1.440578022,0.001230471
849,5.212625949,0.44404206,0.003700572
850,1.918182151,0.369672331,0.003584717
851,0.656040121,0.266737361,0.002874847
852,2.446275672,0.80447304,0.003234103
853,1.10655092,0.277030047,0.004712738
854,0.67203295,0.173741196,0.012561364
855,1.423594655,1.49351642,0.00115411
856,4.487090577,0.687705094,0.002129082
857,0.693667499,0.262456103,0.017878028
858,2.332186194,0.458368727,0.004650421
859,1.565143464,0.422516832,0.003161906
860,0.410247688,0.107180852,0.015138291
861,1.05856832,0.225156894,0.004367031
862,3.222161598,0.54506665,0.003048114
863,1.419571321,0.395801161,0.003533909
864,2.749905759,2.893828752,0.004953893
865,0.938625544,0.228952962,0.005106777
866,0.370934236,0.226547998,0.0066835
867,3.988137325,0.368858156,0.001957176
868,0.772410137,0.173713545,0.018702425
869,0.993409665,0.246619898,0.002483524
870,1.402853632,0.390903753,0.003510645
871,2.075392326,1.581852851,0.008398998
872,1.156016706,2.141903231,0.003014385
873,1.463902859,3.118218503,0.002825522
874,0.501599129,0.188550081,0.013130867
875,0.939694337,0.233801093,0.004481137
876,2.091524397,1.577337936,0.008464283
877,2.344204651,1.1925104,0.003016606
