LONG,LAT,C(km3),V2,RSR
-38.927083,-6.239583,2.1,1.342053632,0.15
-79.45342,40.455993,0.0168,0.193377022,0.0953
-101.553663,35.713078,3.0026,3.008985867,0.1173
-84.401757,41.237799,0.0121,0.081884231,0.7705
-119.685725,34.527829,0.0123,0.369612113,1.2736
-98.140473,36.747179,1.2214,1.260685624,0.4007
-1.500989,39.54476,0.874,1.779706499,0.052
-98.027712,43.743076,0.0242,0.363426267,0.3826
-82.725985,37.734423,0.1151,0.772566954,0.0802
-5.754645,37.042392,0.07,1.078307814,0.11
-106.42863,36.237769,1.6886,2.537023715,0.566
-118.481266,35.648325,0.7006,0.839947861,0.0589
124.123952,42.884275,0.01,0.902863084,0.0594
-5.759233,36.793809,0.2154,0.955967217,0.23
-118.861185,39.044175,0.0184,0.209971351,0.4167
-83.126311,40.156537,0.0407,0.206188517,0.6215
-83.530932,38.114969,0.7575,0.979033341,0.0872
-5.759233,36.793809,0.2154,0.955967217,0.2278
-104.387881,34.608174,0.0756,0.678391528,0.7477
-77.90795768,42.73355028,0.5033,0.558833863,0.0679
-120.850562,38.257854,0.2442,0.555622453,0.0276
-111.12828,39.788265,0.0812,1.525109059,0.1639
-98.861458,32.646542,0.0472,1.846441003,0.5295
-101.694792,50.050433,0.0112,0.352821321,0.0187
-112.0302,39.372709,0.4467,1.007668236,0.26
-107.293998,32.898365,0.2856,0.480697147,0.0273
138.909216,35.941842,0.0269,0.483819816,0.38
35.907292,14.925127,1.3,0.334018977,2.66
-84.22607239,37.548375,0.0017,0.972486832,0.060930859
-84.296716,35.882789,0.1554,0.174640865,0.0376
2.542496,42.657374,0.0246,0.23295682,0.11
-86.518663,32.965262,0.3269,0.154914634,0.5135
103.9574,29.761696,0.02,0.949129266,0.58
104.51875,30.189583,0.04,0.960102223,0.57
-96.176961,46.218549,0.0254,0.218082569,0.0536
25.507035,-30.622355,5.6738,1.040843657,0.47
-99.258059,33.938239,0.0521,1.384401067,0.788
-5.754645,37.042392,0.07,1.078307814,0.1125
-111.485228,36.939635,25.07,1.188867479,0.1293
-86.658869,36.29189,0.6722,0.203128299,0.1779
111.488542,32.557586,33.91,1.035656142,0.39
100.448067,24.623123,0.92,0.160521517,2.44
-1.77777,38.364588,0.4364,1.277140677,0.0324
103.550868,27.402645,0.36,1.1142229,0.18
